danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,song_title,popularity_scores,genre
0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043,6epn3r7S14KUqlReYr77hA,214240,4,Baby,81,canadian pop
0.613,0.634,2,-3.472,1,0.0339,0.0178,0.0,0.0719,0.37,144.953,1Nme6K1PYAh7p7uygyuRdf,241348,4,Battlefield,56,dance pop
0.743,0.948,0,-4.445,0,0.0893,0.122,0.0,0.112,0.614,130.024,7rv0UuxMX7CpUUwEE1jVrd,312987,4,Beautiful,62,dance pop
0.602,0.843,0,-4.831,1,0.0593,0.000688,5.27e-05,0.0682,0.526,128.003,190jyVPHYjAqEaOGmMzdyk,227987,4,Beauty And A Beat,74,canadian pop
0.431,0.894,5,-2.673,0,0.33,0.0951,0.0,0.188,0.605,162.161,1GxHeBvQ9935Dd3cSfsfBa,258760,4,Best I Ever Had,54,canadian hip hop
0.654,0.877,1,-2.988,1,0.045,0.025,0.0,0.0699,0.561,118.499,4VL2XUsn5dHQYdf5nPHGdM,202440,4,Best Song Ever,0,boy band
0.708,0.641,7,-4.296,1,0.0335,0.205,0.0,0.0945,0.253,113.082,3Q4WeJmzxuDpzMu9QjQqbM,268120,4,Big Girls Don't Cry (Personal),9,dance pop
0.76,0.703,5,-5.412,1,0.054,0.103,0.0,0.0913,0.57,95.997,1kHEuJRasudLhjvnbfc4yS,231827,4,Blank Space,55,pop
0.597,0.919,7,-2.954,1,0.0439,0.000145,0.0,0.282,0.729,113.991,4k80K0b6KZ2QjAYkXON7q6,255587,4,Blow Me (One Last Kiss),66,dance pop
0.853,0.599,7,-4.756,1,0.0411,0.00334,7.93e-06,0.0759,0.843,119.993,0n4bITAu0Y0nigrz3MFJMb,263827,4,Blurred Lines,74,contemporary r&b
0.804,0.66,4,-5.168,0,0.114,0.0142,0.0,0.484,0.366,116.514,5rbrRXbZJyzdo0ROBjyAAr,224853,4,Body Bounce,0,canadian old school hip hop
0.867,0.857,9,-5.892,1,0.0663,0.13,0.00171,0.13,0.402,130.048,7xRNsqOQOgWbHV1nbXnfXN,251440,4,Boom Boom Pow,1,dance pop
0.587,0.828,11,-5.108,1,0.161,0.00327,0.0,0.331,0.494,123.907,6r2BECwMgEoRb5yLfp0Hca,260253,4,Born This Way,68,art pop
0.717,0.55,10,-6.019,0,0.0521,0.0358,0.00196,0.126,0.332,96.976,0171XsIM2xyeXRr6wsugEI,171333,4,Boyfriend,0,canadian pop
0.607,0.934,3,-4.217,1,0.0314,0.0327,0.0,0.0909,0.568,122.01,7ElF5zxOwYP4qVSWVvse3W,201547,4,Break Your Heart,74,dance pop
0.765,0.765,1,-2.732,0,0.0585,0.00765,3.82e-06,0.0527,0.886,120.001,4urcG6Nfubqsuqy3juMjBi,227147,4,Brokenhearted,63,dance pop
0.674,0.882,3,-2.771,0,0.0477,0.000441,6.47e-05,0.068,0.682,123.016,6lUY6MoqGgPnA27PHYxem5,205733,4,Bulletproof,0,alternative dance
0.559,0.777,1,-5.031,1,0.0432,0.31,0.0,0.105,0.329,87.016,0xMd5bcWTbyXS7wPrBtZA6,231212,4,Burn,62,dance pop
0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,3TGRqZ0a2l1LRblBkJoaDx,193400,4,Call Me Maybe,71,canadian pop
0.692,0.908,9,-5.364,1,0.0677,0.0251,0.0,0.0933,0.513,124.042,5qxPabNDnJQ551Tf4v6k3j,250387,4,Catch My Breath,53,dance pop
0.791,0.733,6,-5.215,0,0.052,0.147,0.000381,0.0713,0.761,114.98,4p3WcdhfXbDDX0fcxp0wr1,192360,4,Circus,0,dance pop
0.509,0.781,8,-3.48,1,0.072,0.0398,0.0,0.0749,0.176,128.0,60wwxj6Dd9NJlirf84wr2c,271427,4,Clarity,74,complextro
0.623,0.882,0,-2.574,1,0.0322,0.0205,0.0,0.194,0.525,127.98,0xcl9XT60Siji6CSG4y6nb,232616,4,Club Can't Handle Me (feat. David Guetta) - From the Step Up 3D Soundtrack,57,dance pop
0.768,0.82,7,-4.63,0,0.0474,0.179,0.0,0.689,0.625,129.965,2V4bv1fNWfTcyRJKmej6Sj,213293,4,Cooler Than Me - Single Mix,75,dance pop
0.664,0.758,2,-6.583,0,0.21,0.00238,0.0,0.0598,0.701,99.259,0TwBtDAWpkpM3srywFVOV5,235933,4,Crazy In Love (feat. Jay-Z),74,dance pop
0.878,0.455,0,-8.845,1,0.077,0.0462,0.00484,0.0353,0.79,129.953,6mH3qVIeOsnQIAho5eWwhH,128013,4,Cups (Pitch Perfect’s “When I’m Gone”) - Pop Version,62,hollywood
0.792,0.856,11,-5.236,0,0.067,0.0159,2.88e-06,0.0981,0.714,127.988,4d2hD63oUGU3s7L66JD0BE,237267,4,Dance Again,66,dance pop
0.645,0.585,6,-6.122,1,0.0513,0.00314,0.0,0.165,0.353,131.931,5jrdCoLpJSvHHorevXBATy,215672,4,Dark Horse,79,dance pop
0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,7EQGXaVSyEDsCWKmUcfpLk,211920,4,Die Young,77,dance pop
0.707,0.813,11,-4.515,0,0.0571,0.0863,0.0,0.168,0.722,124.921,01BvT9GPtThEzcMxkptkgN,238627,4,Disturbia,0,barbadian pop
0.671,0.808,2,-4.861,0,0.0652,0.02,0.0,0.134,0.637,121.956,1r3myKmjWoOqRip99CmSj1,206080,4,Don't Wanna Go Home,62,dance pop
0.855,0.668,11,-4.892,1,0.0644,0.0242,0.0,0.102,0.803,125.846,7yws3pF3FFguwT2Psi6c15,210307,4,Do You Remember,0,dance pop
0.72,0.607,1,-4.168,1,0.0322,0.0543,0.0,0.113,0.828,121.223,4vVTI94F9uJ8lHNDWKv0i2,201947,4,Eenie Meenie,74,dance pop
