,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_title,popularity_scores,genre
14,0.478,0.883,5,-5.16,1,0.0339,0.0152,3.24e-05,0.0891,0.402,127.358,audio_features,3b0sPHqS2LNCmYERIGCWnN,spotify:track:3b0sPHqS2LNCmYERIGCWnN,https://api.spotify.com/v1/tracks/3b0sPHqS2LNCmYERIGCWnN,https://api.spotify.com/v1/audio-analysis/3b0sPHqS2LNCmYERIGCWnN,193180,4,Wasteland,12,alternative country
15,0.55,0.672,7,-7.375,1,0.0244,0.222,6.88e-05,0.0681,0.708,94.958,audio_features,2muyspDPhxwakBTTy4HEZB,spotify:track:2muyspDPhxwakBTTy4HEZB,https://api.spotify.com/v1/tracks/2muyspDPhxwakBTTy4HEZB,https://api.spotify.com/v1/audio-analysis/2muyspDPhxwakBTTy4HEZB,222920,4,Ultraviolet Light,15,alternative country
16,0.509,0.85,9,-4.895,1,0.0337,0.00125,1.74e-06,0.304,0.553,127.752,audio_features,5UikPz0J2ITgbgicNHh9cF,spotify:track:5UikPz0J2ITgbgicNHh9cF,https://api.spotify.com/v1/tracks/5UikPz0J2ITgbgicNHh9cF,https://api.spotify.com/v1/audio-analysis/5UikPz0J2ITgbgicNHh9cF,159233,4,Stop Playing With My Heart,12,alternative country
17,0.514,0.796,9,-6.049,0,0.037,0.0082,6.42e-05,0.0944,0.699,129.781,audio_features,4TsT7n2ERj5rzVtd0nXGOb,spotify:track:4TsT7n2ERj5rzVtd0nXGOb,https://api.spotify.com/v1/tracks/4TsT7n2ERj5rzVtd0nXGOb,https://api.spotify.com/v1/audio-analysis/4TsT7n2ERj5rzVtd0nXGOb,153701,4,Lovely And Blue,14,alternative country
18,0.513,0.819,4,-6.177,1,0.0359,0.154,0.000392,0.125,0.894,103.025,audio_features,0OzmSaPw34KBw9155bGB87,spotify:track:0OzmSaPw34KBw9155bGB87,https://api.spotify.com/v1/tracks/0OzmSaPw34KBw9155bGB87,https://api.spotify.com/v1/audio-analysis/0OzmSaPw34KBw9155bGB87,147766,4,Happy Birthday,18,alternative country
19,0.469,0.865,4,-6.239,0,0.0397,0.0447,5.1e-05,0.143,0.884,124.531,audio_features,2mjDALU9t0F4PB10AY3Cgb,spotify:track:2mjDALU9t0F4PB10AY3Cgb,https://api.spotify.com/v1/tracks/2mjDALU9t0F4PB10AY3Cgb,https://api.spotify.com/v1/audio-analysis/2mjDALU9t0F4PB10AY3Cgb,176467,4,Kisses Start Wars,10,alternative country
20,0.592,0.796,2,-7.058,1,0.0261,0.0677,8.6e-05,0.0543,0.601,91.175,audio_features,5z6TWTzZj6Q2Gh7EYncZTm,spotify:track:5z6TWTzZj6Q2Gh7EYncZTm,https://api.spotify.com/v1/tracks/5z6TWTzZj6Q2Gh7EYncZTm,https://api.spotify.com/v1/audio-analysis/5z6TWTzZj6Q2Gh7EYncZTm,213334,4,The Crystal Skull,10,alternative country
21,0.698,0.75,2,-6.428,1,0.0307,0.0682,4.57e-06,0.0807,0.962,114.295,audio_features,0XmdsYRqrIsRvTcj50dnll,spotify:track:0XmdsYRqrIsRvTcj50dnll,https://api.spotify.com/v1/tracks/0XmdsYRqrIsRvTcj50dnll,https://api.spotify.com/v1/audio-analysis/0XmdsYRqrIsRvTcj50dnll,177741,4,Users,12,alternative country
22,0.484,0.894,4,-5.587,1,0.0674,0.00642,0.17,0.496,0.626,139.409,audio_features,5ZAVQRdtnBD96z0ncIUUjV,spotify:track:5ZAVQRdtnBD96z0ncIUUjV,https://api.spotify.com/v1/tracks/5ZAVQRdtnBD96z0ncIUUjV,https://api.spotify.com/v1/audio-analysis/5ZAVQRdtnBD96z0ncIUUjV,183135,4,No,9,alternative country
23,0.406,0.882,2,-6.715,1,0.0623,0.141,2.11e-05,0.0919,0.498,128.896,audio_features,4jWe0ZKtRqNyoqLgJYbgVe,spotify:track:4jWe0ZKtRqNyoqLgJYbgVe,https://api.spotify.com/v1/tracks/4jWe0ZKtRqNyoqLgJYbgVe,https://api.spotify.com/v1/audio-analysis/4jWe0ZKtRqNyoqLgJYbgVe,173893,4,Numbers,9,alternative country
24,0.456,0.881,3,-6.219,1,0.0309,0.127,0.000116,0.319,0.725,131.894,audio_features,65d54CggGBdswKt0Fxqj5M,spotify:track:65d54CggGBdswKt0Fxqj5M,https://api.spotify.com/v1/tracks/65d54CggGBdswKt0Fxqj5M,https://api.spotify.com/v1/audio-analysis/65d54CggGBdswKt0Fxqj5M,210507,4,Gracie,10,alternative country
25,0.498,0.729,6,-6.079,0,0.198,0.0246,0.00793,0.278,0.533,161.501,audio_features,4R6XhX6qmWeGe64F9hQPYO,spotify:track:4R6XhX6qmWeGe64F9hQPYO,https://api.spotify.com/v1/tracks/4R6XhX6qmWeGe64F9hQPYO,https://api.spotify.com/v1/audio-analysis/4R6XhX6qmWeGe64F9hQPYO,132973,4,Icebreaker,8,alternative country
26,0.456,0.907,7,-5.769,1,0.0402,0.00166,4.97e-06,0.156,0.722,125.186,audio_features,5iqGgLA7F2LmJRao9YsoNv,spotify:track:5iqGgLA7F2LmJRao9YsoNv,https://api.spotify.com/v1/tracks/5iqGgLA7F2LmJRao9YsoNv,https://api.spotify.com/v1/audio-analysis/5iqGgLA7F2LmJRao9YsoNv,162300,4,Sewers At The Bottom Of The Wishing Well,8,alternative country
27,0.497,0.723,4,-6.196,1,0.0311,0.156,9.15e-06,0.122,0.649,106.334,audio_features,6IClDZngwohnKfyXf3yOXF,spotify:track:6IClDZngwohnKfyXf3yOXF,https://api.spotify.com/v1/tracks/6IClDZngwohnKfyXf3yOXF,https://api.spotify.com/v1/audio-analysis/6IClDZngwohnKfyXf3yOXF,198356,4,Typecast,12,alternative country
